temperature,relative humidity,wind speed,surface pressure
26.35000038,100,9.58,101.99
26.44000053,100,13.72,101.89
27.21999931,100,9.58,101.67
28.29000092,99.5,9.34,100.96
28.05999947,100,6.5,101.5
27.75,100,5.88,101.54
23.85000038,100,12.05,100.43
22.79999924,100,11.52,100.63
22.62000084,100,7.2,100.61
23.04999924,100,4.7,100.21
19.30999947,99.81,3.55,100.16
19.88999939,100,4.08,99.58
21.29000092,100,3.71,99.49
21.53000069,100,9.23,99.67
23.84000015,100,6.03,99.57
24.07999992,100,6.11,99.15
25.62999916,100,10.52,99.8
23,99.69,11.32,100.52
23.69000053,97.62,7.75,101.22
24.68000031,100,5.8,100.66
25.17000008,96.81,3.88,100.43
26.57999992,100,9.7,99.74
27.92000008,100,6.1,98.65
26.42000008,100,9.63,98.26
25.62000084,100,9.7,97.74
25.62999916,100,5.92,98.08
26.27000046,100,11.79,99.63
26.76000023,100,10.07,99.97
28.12999916,100,7,99.86
29.61000061,98.31,3.55,99.69
29.60000038,100,9.37,100.33
29.09000015,100,8.05,100.85
26.43000031,100,10.71,100.38
26.55999947,100,10.46,100.58
28.67000008,98.38,10.64,100.73
30.21999931,99.94,12.66,100.52
30.38999939,100,16.3,100.15
30.21999931,100,17.04,99.84
30.23999977,95.19,16.34,99.9
28.76000023,98.56,14.36,100.67
25.54000092,98.88,4.38,100.75
26.07999992,88,4.62,101.96
28.44000053,92.25,6.07,102.26
30.75,95,10.94,101.25
31.95999908,93.88,14.41,100.64
32.93000031,91.94,10.7,99.99
33.91999817,90.69,10.73,100.06
32.75,88.38,15.52,99.05
32.15000153,100,11.76,99.38
32.11000061,100,5.96,101.49
31.62999916,100,9.63,100.94
31.92000008,100,13.12,100.01
32.16999817,100,14.35,101.64
33.04999924,100,10.7,103.21
33.97000122,100,6.65,103.5
35.02999878,99.94,4.3,102.81
35.38000107,100,6.35,102.41
34.77000046,100,7.47,102.91
34.93999863,100,10.59,103.02
34.99000168,100,7.65,103.63
32.38000107,100,6.09,103.8
31.64999962,100,9.06,103.81
32.00999832,99.56,8.77,104.04
33.52999878,98.75,7.73,103.42
34.79999924,99.75,10.64,103.19
34.50999832,94.62,12.59,102.98
35.22000122,91.69,12.56,102.87
34.11999893,92.06,11.2,102.77
31.75,93,13.1,101.92
33.38999939,98.94,10.94,101.59
30.72999954,99.69,6.89,100.62
28.88999939,98.81,8.02,99.9
31.28000069,100,10.51,100.99
31.35000038,95.12,10.83,100.86
27.75,94.56,11.7,101.1
31.79999924,95.31,11.06,102.01
33.75,95.19,12.78,102.65
34.81999969,96.75,8.85,102.82
32.70000076,96.94,10.05,102.45
31.27000046,99.88,9.53,102.47
32.20000076,99.62,5.8,101.68
32.47000122,99.12,4.6,100.99
32.86000061,97.25,5.8,100.74
