maxtemp,10u,10v,msl,msnlwrf,r,ssr
28.32,-2.319564777,-2.54224395,101485.0561,-52.74718436,73.31992258,615010.8901
28.65,-2.674598188,-2.393440264,101509.342,-59.45828789,67.20211721,660833.8671
28.99,-2.138307104,-2.595200267,101537.1517,-64.90637349,68.97677673,682528.1304
29.09,-1.597970634,-2.381015377,101514.953,-71.48544174,70.84202178,706449.434
28.55,-1.421150709,-2.072064613,101446.2626,-72.43192418,74.16835356,734606.9326
29.07,-1.875072851,-2.051258151,101614.3268,-60.99750484,77.2408222,650220.3338
29.01,-2.596382871,-2.005737103,101562.6343,-61.75094198,76.45477514,614813.9552
28.88,-1.786399059,-0.974360911,101442.9052,-57.87855071,71.555474,581617.8565
29.02,-1.419878915,-1.544492377,101413.0854,-70.31899241,73.96919182,662442.8671
28.85,-1.945116217,-2.255893943,101437.1061,-61.24760922,69.63066519,656821.8426
28.85,-1.896287454,-2.680822605,101520.1144,-63.97495979,64.6152512,665436.6963
28.67,-1.769067486,-2.347181834,101432.2672,-67.87739665,65.89113113,710277.094
29.07,-1.891281457,-2.341405675,101378.3998,-70.42502491,67.83709114,660088.0286
29.42,-1.818572736,-1.873696567,101371.6691,-74.49533124,69.43403187,737552.5757
29.17,-1.607739092,-2.006007476,101433.8043,-70.66741115,68.56080292,725181.2938
28.88,-1.932330631,-1.561771695,101523.1743,-66.58892726,71.66434195,680439.3636
29.04,-2.381842084,-1.347967787,101561.6006,-59.25237903,78.45023385,680875.1344
29.49,-2.812723111,-0.474993537,101576.0582,-37.99148546,87.23761376,526677.2133
29.85,-2.609209046,0.396567398,101442.0668,-42.10957074,88.23653439,538629.4849
29.91,-2.890992547,-0.269177933,101424.0119,-53.22901661,82.8776928,629441.6082
29.99,-2.739608498,-1.448411504,101506.5311,-53.20724043,77.51009899,619802.274
29.63,-2.779101754,-2.073576246,101524.9049,-44.65352369,77.19020517,567371.503
29.49,-3.596202198,-2.030930987,101546.1666,-48.67026248,82.21821264,625496.6253
29.68,-3.592495055,-2.738952886,101647.8605,-54.36229633,82.89539175,654047.9938
29.63,-2.936181815,-3.036769182,101634.6355,-61.47345659,81.63458509,731986.0226
29.84,-2.047455027,-1.520429145,101346.3997,-58.26473319,78.23959696,681979.2268
29.65,-1.629549003,0.285726595,101097.3731,-70.34398447,78.04685351,685132.28
29.89,-1.52054004,1.424883454,101017.2259,-71.14933527,78.72505372,678419.7335
29.89,-0.884101961,1.943422765,101039.0144,-78.63216057,75.61232484,740183.9609
30.18,-0.778218364,1.807916529,101002.3563,-75.15422121,79.93898734,786199.6828
30.36,-0.37434266,2.627332267,101061.7559,-79.54363574,79.24323407,779265.0607
30.96,-0.937233175,2.21367326,101225.834,-76.62691518,78.36776844,771358.3345
30.72,-0.743744634,1.750671107,101238.7383,-77.78463566,79.92950577,796006.6211
31.26,-2.259519875,-0.158607504,101287.7095,-58.72635127,74.68074772,725612.8744
30.4,-2.528585438,0.617339566,101382.2838,-53.37272096,68.55564883,595656.7999
30.63,-2.356920337,0.027077576,101449.1308,-45.66165934,71.72307911,604215.0872
30.65,-2.835439512,0.04557357,101407.804,-58.98803285,76.1773296,719015.5557
30.59,-2.037930104,1.377199418,101245.0588,-71.82338586,75.79709404,741145.5899
30.64,-1.699741196,1.295694129,101160.818,-66.90509521,74.43101757,788292.6397
31.38,-2.199204379,1.330621456,101142.1217,-51.95469713,76.19789733,593865.5304
31.56,-2.55952791,0.949591601,101183.2191,-51.93365602,76.37021892,642430.9305
31.43,-2.708530729,0.839832292,101250.0446,-52.83364587,76.92875675,614820.2404
31.73,-2.743491528,0.614857047,101326.2505,-61.20607829,74.04460683,727527.7519
31.54,-2.382870342,1.095580946,101207.9188,-56.46190512,72.28745176,662587.4256
31.41,-2.746914547,1.630846534,101106.2196,-60.08428389,72.14454737,693640.2861
31.54,-2.838510759,0.130384788,101152.8672,-72.81351253,73.05536227,788192.0772
